# Wavelength_Angstrom  Normalized_Flux
4.812850011379900025e+03 8.957716226577758789e-01
4.812900011380599608e+03 8.633390665054321289e-01
4.812950011381300101e+03 8.907611370086669922e-01
4.813000011381999684e+03 9.544590115547180176e-01
4.813050011382700177e+03 9.968622326850891113e-01
4.813100011383399760e+03 9.982295632362365723e-01
4.813150011384100253e+03 9.631501436233520508e-01
4.813200011384799836e+03 8.598691821098327637e-01
4.813250011385500329e+03 7.544946074485778809e-01
4.813300011386199913e+03 7.481446266174316406e-01
4.813350011386899496e+03 8.642861247062683105e-01
4.813400011387599989e+03 9.533029794692993164e-01
4.813450011388300481e+03 9.867415428161621094e-01
4.813500011389000065e+03 9.828125834465026855e-01
4.813550011389699648e+03 9.870123863220214844e-01
4.813600011390400141e+03 9.876561164855957031e-01
4.813650011391099724e+03 1.001835823059082031e+00
4.813700011391800217e+03 9.803131222724914551e-01
4.813750011392499800e+03 9.669637680053710938e-01
4.813800011393200293e+03 9.588283300399780273e-01
4.813850011393899877e+03 9.861891269683837891e-01
4.813900011394600369e+03 9.908321499824523926e-01
4.813950011395299953e+03 1.004438996315002441e+00
4.814000011395999536e+03 9.741756916046142578e-01
4.814050011396700029e+03 9.339941740036010742e-01
4.814100011397399612e+03 8.987005949020385742e-01
4.814150011398100105e+03 9.067355394363403320e-01
4.814200011398799688e+03 9.341127872467041016e-01
4.814250011399500181e+03 9.687425494194030762e-01
4.814300011400199764e+03 9.620894193649291992e-01
4.814350011400900257e+03 9.114950895309448242e-01
4.814400011401599841e+03 8.930504918098449707e-01
4.814450011402300333e+03 9.280719161033630371e-01
4.814500011402999917e+03 9.701833724975585938e-01
4.814550011403700410e+03 9.856016635894775391e-01
4.814600011404399993e+03 9.749742150306701660e-01
4.814650011405099576e+03 9.818070530891418457e-01
4.814700011405800069e+03 9.902952313423156738e-01
4.814750011406499652e+03 9.943711757659912109e-01
4.814800011407200145e+03 9.863169789314270020e-01
